"","y.pred.test.svm.prob",""
"1",0.549128455924427,2
"2",0.107192547016225,1
"3",0.169114361040886,2
"4",0.142991336199338,1
"5",0.578676990422119,2
"6",0.169114361040886,1
"7",0.281118524791243,2
"8",0.153300011216451,1
"9",0.128392000800896,1
"10",0.714774599087544,1
"11",0.321697599724747,1
"12",0.28389218752671,1
"13",0.371358111660754,2
"14",0.178147451360293,1
"15",0.140249236601944,1
"16",0.125269163289218,1
"17",0.240098812952554,2
"18",0.181214119534587,1
"19",0.313682653454916,1
"20",0.682961405352828,1
"21",0.460390606670177,1
"22",0.133622568041067,1
"23",0.754082416256634,1
"24",0.33292666863623,1
"25",0.147973799663338,2
"26",0.122549875772476,1
"27",0.578676990422119,2
"28",0.120612535723767,1
"29",0.118539242025206,1
"30",0.460390606670177,2
"31",0.168184883870481,1
"32",0.138799444704887,1
"33",0.535297056224409,1
"34",0.109809012720078,1
"35",0.169070161165344,1
"36",0.156861316870958,1
"37",0.0944631400300149,1
"38",0.130958430895585,1
"39",0.153328041799235,1
"40",0.137700419224773,1
"41",0.181523823122724,1
"42",0.110223655297733,1
"43",0.806982037905174,1
"44",0.136014508933059,2
"45",0.0960935240536156,1
"46",0.281118524791243,1
"47",0.169070161165344,2
"48",0.806982037905174,2
"49",0.281118524791243,2
"50",0.28389218752671,1
"51",0.128244057056187,1
"52",0.682961405352828,2
"53",0.134458463463366,1
"54",0.754082416256634,2
"55",0.108923375586789,1
"56",0.16902036887593,1
"57",0.549128455924427,1
"58",0.120208821679737,1
"59",0.108384265797822,1
"60",0.714774599087544,2
"61",0.128095978864192,1
"62",0.12195379929496,1
"63",0.118539242025206,1
"64",0.157038113694161,1
"65",0.216902299368038,1
"66",0.108384265797822,1
"67",0.169022957184098,1
"68",0.126663013960423,1
"69",0.186806327154463,1
"70",0.169114361040886,2
"71",0.171100792098313,1
"72",0.125878269355492,1
"73",0.42192223338757,1
"74",0.108384265797822,1
"75",0.485749721348725,2
"76",0.161054919201277,2
"77",0.137403864436638,1
"78",0.21796138624898,1
"79",0.51238222743689,2
"80",0.535297056224409,1
"81",0.138799444704887,1
"82",0.169102736173607,2
"83",0.714774599087544,2
"84",0.281118524791243,1
"85",0.134816962817136,1
"86",0.806982037905174,1
"87",0.12329277974569,1
"88",0.682961405352828,2
"89",0.169070161165344,2
"90",0.285646083907345,1
"91",0.111471160261783,1
"92",0.281118524791243,2
"93",0.119969140960898,1
"94",0.120651954196906,1
"95",0.169114361040886,2
"96",0.806982037905174,2
"97",0.58282249601877,1
"98",0.131503797188081,1
"99",0.155657441634807,1
"100",0.120268118442625,1
"101",0.168995650514672,2
"102",0.281118524791243,1
"103",0.806982037905174,2
"104",0.103898333576337,1
"105",0.195862519020308,2
"106",0.132904516305535,1
"107",0.132891757744051,2
"108",0.129589580052699,1
"109",0.135480147163368,1
"110",0.281118524791243,2
"111",0.111006164372457,1
"112",0.121321228313036,1
"113",0.157632831034428,2
"114",0.18452568123668,1
"115",0.714774599087544,2
"116",0.271129000361994,1
"117",0.137784569292325,1
"118",0.626456414941422,1
"119",0.110286680354211,1
"120",0.281118524791243,1
"121",0.157239712254756,1
"122",0.33292666863623,1
"123",0.151381379252751,1
"124",0.134458463463366,1
"125",0.806982037905174,2
"126",0.184398351375452,1
"127",0.118003037086182,2
"128",0.147981752185742,1
"129",0.160128287610933,1
"130",0.682961405352828,1
"131",0.106946031238073,1
"132",0.138780127583833,1
"133",0.217425856312918,1
"134",0.118539242025206,1
"135",0.132891757744051,1
"136",0.549128455924427,2
"137",0.127859680513786,1
"138",0.143503690385119,1
"139",0.210836002662881,1
"140",0.217425856312918,1
"141",0.169042860361575,1
"142",0.136642283133687,1
"143",0.211109530281666,1
"144",0.169114361040886,1
"145",0.190008835280626,1
"146",0.164234352357331,1
"147",0.176773158309871,2
"148",0.217425856312918,2
"149",0.205252316966845,1
"150",0.195174685219503,1
"151",0.438861795984266,1
"152",0.472179420096694,2
"153",0.382400533859031,1
"154",0.103867454535685,1
"155",0.195168444483418,2
"156",0.118502538268636,1
"157",0.211109530281666,2
"158",0.132891757744051,1
"159",0.143230335061158,2
